Longitude,Latitude,id,RSRP,L,FB,PCI,RSRQ,RSSI,RSP,D,SINR,Hb,Hm,Husr,deltaH,LOS,UCI,CCI
12.520112,55.780073,0,-75.44,553.06443,811,64,-13.36,-55.42,18,553.7982608596969,16.18,60,1.5,38.0,22.0,False,14,14
12.520119,55.780071,1,-75.44,553.103503,811,64,-13.36,-55.42,18,553.837282088224,16.18,60,1.5,38.0,22.0,False,14,14
12.520127,55.78007,2,-75.44,553.016364,811,64,-13.36,-55.42,18,553.750258556852,16.18,60,1.5,38.0,22.0,False,14,14
12.520135,55.780068,3,-75.44,553.032644,811,64,-13.36,-55.42,18,553.7665169813274,16.18,60,1.5,38.0,22.0,False,14,14
12.520142,55.780067,4,-75.44,552.970088,811,64,-13.36,-55.42,18,553.7040438923376,16.18,60,1.5,38.0,22.0,False,14,14
12.52015,55.780065,5,-75.44,552.987352,811,64,-13.36,-55.42,18,553.7212850089581,16.18,60,1.5,38.0,22.0,False,14,14
12.520158,55.780064,6,-75.44,552.902084,811,64,-13.36,-55.42,18,553.636130045306,16.18,60,1.5,38.0,22.0,False,14,14
12.520165,55.780062,7,-75.44,552.94385,811,64,-13.36,-55.42,18,553.6778406734574,16.18,60,1.5,38.0,22.0,False,14,14
12.520173,55.780061,8,-70.0,552.8594919999999,811,64,-12.98,-49.67,18,553.5935945208344,22.01,60,1.5,38.0,22.0,False,14,14
12.520181,55.780059,9,-70.0,552.878783,811,64,-12.98,-49.67,18,553.6128599405555,22.01,60,1.5,38.0,22.0,False,14,14
12.520186,55.780058,10,-70.0,552.865311,811,64,-12.98,-49.67,18,553.5994058045283,22.01,60,1.5,38.0,22.0,False,14,14
12.520193,55.780056,11,-70.0,552.9087350000001,811,64,-12.98,-49.67,18,553.6427722270926,22.01,60,1.5,38.0,22.0,False,14,14
12.520198,55.780055,12,-70.0,552.895756,811,64,-12.98,-49.67,18,553.6298104354673,22.01,60,1.5,38.0,22.0,False,14,14
12.520204,55.780053,13,-70.0,552.9630880000001,811,64,-12.98,-49.67,18,553.6970531712227,22.01,60,1.5,38.0,22.0,False,14,14
12.520209,55.780052,14,-70.0,552.950567,811,64,-12.98,-49.67,18,553.6845487690815,22.01,60,1.5,38.0,22.0,False,14,14
12.520215,55.78005,15,-70.0,553.018494,811,64,-12.98,-49.67,18,553.752385733938,22.01,60,1.5,38.0,22.0,False,14,14
12.520223,55.780048,16,-69.9,553.0406479999999,811,64,-13.08,-49.58,18,553.7745103742676,18.67,60,1.5,38.0,22.0,False,14,14
12.520229,55.780046,17,-69.9,553.109337,811,64,-13.08,-49.58,18,553.843108358838,18.67,60,1.5,38.0,22.0,False,14,14
12.520234,55.780045,18,-69.9,553.0978600000001,811,64,-13.08,-49.58,18,553.8316465647116,18.67,60,1.5,38.0,22.0,False,14,14
12.520238,55.780043,19,-69.9,553.212999,811,64,-13.08,-49.58,18,553.9466330456156,18.67,60,1.5,38.0,22.0,False,14,14
12.520242,55.780041,20,-69.9,553.3283180000001,811,64,-13.08,-49.58,18,554.0617993515789,18.67,60,1.5,38.0,22.0,False,14,14
12.520245,55.780039,21,-69.9,553.4666860000001,811,64,-13.08,-49.58,18,554.1999842221422,18.67,60,1.5,38.0,22.0,False,14,14
12.520248,55.780037,22,-69.9,553.605173,811,64,-13.08,-49.58,18,554.3382880266886,18.67,60,1.5,38.0,22.0,False,14,14
12.520251,55.780035,23,-69.9,553.743778,811,64,-13.08,-49.58,18,554.4767097667072,18.67,60,1.5,38.0,22.0,False,14,14
12.520254,55.780033,24,-72.83,553.882501,811,64,-13.27,-52.71,18,554.6152494423635,17.95,60,1.5,38.0,22.0,False,14,14
12.520258,55.780031,25,-72.83,553.9985790000001,811,64,-13.27,-52.71,18,554.7311741141102,17.95,60,1.5,38.0,22.0,False,14,14
12.520261,55.780029,26,-72.83,554.137565,811,64,-13.27,-52.71,18,554.8699766108535,17.95,60,1.5,38.0,22.0,False,14,14
12.520264,55.780027,27,-72.83,554.2766700000001,811,64,-13.27,-52.71,18,555.0088980424449,17.95,60,1.5,38.0,22.0,False,14,14
12.520267,55.780025,28,-72.83,554.415892,811,64,-13.27,-52.71,18,555.1479364116881,17.95,60,1.5,38.0,22.0,False,14,14
12.52027,55.780023,29,-72.83,554.555232,811,64,-13.27,-52.71,18,555.2870927174283,17.95,60,1.5,38.0,22.0,False,14,14
12.520274,55.78002,30,-72.83,554.77577,811,64,-13.27,-52.71,18,555.50734016671,17.95,60,1.5,38.0,22.0,False,14,14
12.520277,55.780018,31,-72.83,554.915391,811,64,-13.27,-52.71,18,555.6467773403198,17.95,60,1.5,38.0,22.0,False,14,14
12.520277,55.780014,32,-70.94,555.330309,811,64,-13.31,-49.74,18,556.0611495996061,22.65,60,1.5,38.0,22.0,False,14,14
12.520278,55.780012,33,-70.94,555.515224,811,64,-13.31,-49.74,18,556.2458216434261,22.65,60,1.5,38.0,22.0,False,14,14
12.520279,55.780009,34,-70.94,555.803931,811,64,-13.31,-49.74,18,556.5341496395821,22.65,60,1.5,38.0,22.0,False,14,14
12.520279,55.780007,35,-70.94,556.011454,811,64,-13.31,-49.74,18,556.7414004537421,22.65,60,1.5,38.0,22.0,False,14,14
12.52028,55.780004,36,-70.94,556.300243,811,64,-13.31,-49.74,18,557.0298110172014,22.65,60,1.5,38.0,22.0,False,14,14
12.52028,55.780002,37,-70.94,556.507803,811,64,-13.31,-49.74,18,557.2370992673467,22.65,60,1.5,38.0,22.0,False,14,14
12.520281,55.779999,38,-70.94,556.796676,811,64,-13.31,-49.74,18,557.5255943942385,22.65,60,1.5,38.0,22.0,False,14,14
12.520281,55.779997,39,-70.94,557.004272,811,64,-13.31,-49.74,18,557.7329190806743,22.65,60,1.5,38.0,22.0,False,14,14
