RSRP,RSRQ,RSSI,SINR,FB,EI,CI,network,LATITUDE,LONGITUDE,Hb,id,Husr,deltaH,L,D,the,phi,RSP
-79,-10,-55,2.1,1650,751630,21,0,24.827685,102.848255,1998,1,1970,28,80.57,85.3,245.5,-19.17,3.4
-78,-10,-69,11,1650,751630,21,0,24.827707,102.848242,1998,2,1970,28,80.7,85.42,247.35,-19.15,3.4
-81,-10,-69,2.1,1650,751630,21,0,24.827715,102.848233,1998,3,1970,28,81.17,85.86,248.13,-19.05,3.4
-81,-10,-69,2.1,1650,751630,21,0,24.827725,102.848228,1998,4,1970,28,81.2,85.89,248.94,-19.04,3.4
-82,-10,-69,2,1650,751630,21,0,24.827725,102.848228,1998,5,1970,28,81.2,85.89,248.94,-19.04,3.4
-86,-12,-69,1.9,1650,751630,21,0,24.827725,102.848228,1998,6,1970,28,81.2,85.89,248.94,-19.04,3.4
-86,-12,-69,1.9,1650,751630,21,0,24.827725,102.848228,1998,7,1970,28,81.2,85.89,248.94,-19.04,3.4
-83,-11,-75,2,1650,751630,21,0,24.827735,102.848232,1998,8,1970,28,80.4,85.14,249.51,-19.22,3.4
-84,-11,-75,2,1650,751630,21,0,24.827735,102.848232,1998,9,1970,28,80.4,85.14,249.51,-19.22,3.4
-84,-11,-75,2,1650,751630,21,0,24.827763,102.848222,1998,10,1970,28,80.22,84.97,251.68,-19.26,3.4
-84,-11,-75,2,1650,751630,21,0,24.827778,102.848218,1998,11,1970,28,80.05,84.81,252.81,-19.3,3.4
-84,-10,-75,1.9,1650,751630,31,0,24.827792,102.848215,1998,12,1970,28,79.86,84.63,253.85,-19.34,3.4
-84,-10,-75,1.9,1650,751630,31,0,24.827805,102.84821,1998,13,1970,28,79.92,84.68,254.87,-19.33,3.4
-85,-10,-75,1.9,1650,751630,31,0,24.82782,102.848203,1998,14,1970,28,80.15,84.9,256.05,-19.28,3.4
-85,-10,-75,1.9,1650,751630,31,0,24.827832,102.8482,1998,15,1970,28,80.1,84.85,256.95,-19.29,3.4
-84,-12,-73,2,1650,751630,31,0,24.827843,102.848193,1998,16,1970,28,80.5,85.23,257.84,-19.2,3.4
-84,-12,-73,2,1650,751630,31,0,24.82786,102.848185,1998,17,1970,28,80.88,85.59,259.16,-19.12,3.4
-82,-11,-73,2,1650,751630,31,0,24.827872,102.848182,1998,18,1972,26,80.91,84.98,260.04,-17.84,3.4
-84,-9,-73,1.9,1650,751630,31,0,24.828347,102.847503,1998,19,1975,23,152.73,154.45,282.95,-8.58,3.4
-84,-9,-73,1.9,1650,751630,31,0,24.828347,102.847515,1998,20,1975,23,151.55,153.29,283.06,-8.64,3.4
-87,-10,-73,1.8,1650,751630,31,0,24.828347,102.847525,1998,21,1975,23,150.57,152.32,283.15,-8.7,3.4
-78,-7,-73,2.1,1650,751630,31,0,24.82835,102.847543,1998,22,1975,23,148.9,150.67,283.42,-8.79,3.4
-78,-7,-73,2.1,1650,751630,31,0,24.828353,102.847553,1998,23,1975,23,148,149.78,283.63,-8.84,3.4
-78,-7,-73,2.1,1650,751630,31,0,24.828357,102.847563,1998,24,1975,23,147.14,148.93,283.87,-8.9,3.4
-80,-7,-73,2,1650,751630,31,0,24.82836,102.847575,1998,25,1975,23,146.06,147.86,284.1,-8.96,3.4
-83,-8,-59,1.9,1650,751630,31,0,24.828377,102.84762,1998,26,1975,23,142.2,144.05,285.23,-9.2,3.4
-83,-8,-68,1.9,1650,751630,31,0,24.828377,102.847632,1998,27,1975,23,141.04,142.9,285.36,-9.27,3.4
-86,-10,-63,1.8,1650,751630,31,0,24.828372,102.847655,1998,28,1975,23,138.66,140.55,285.41,-9.43,3.4
